"participant_id","trial_num","phase","rotation_angle","trial_type","ref_object","comp_object","object_identity","response","correct_response","correct","rt_ms","sex","gaming_hrs_week","gaming_group"
"20260403_192603",27,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1573.52,"F",3,"Low"
"20260403_192603",28,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,3262.9,"F",3,"Low"
"20260403_192603",29,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,1675.2,"F",3,"Low"
"20260403_192603",30,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1899.34,"F",3,"Low"
"20260403_192603",31,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1664.84,"F",3,"Low"
"20260403_192603",32,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1069.65,"F",3,"Low"
"20260403_193318",1,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,3816.52,"M",9,"High"
"20260403_193318",2,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,3836.43,"M",9,"High"
"20260403_193318",3,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,3784.13,"M",9,"High"
"20260403_193318",4,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","same","different",0,3464.58,"M",9,"High"
"20260403_193318",5,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,3813.5,"M",9,"High"
"20260403_193318",6,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,2586.45,"M",9,"High"
"20260403_193318",7,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","same","different",0,5461.03,"M",9,"High"
"20260403_193318",8,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,5443.63,"M",9,"High"
"20260403_193318",9,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,4266.35,"M",9,"High"
"20260403_193318",10,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,3547.36,"M",9,"High"
"20260403_193318",11,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,2742.98,"M",9,"High"
"20260403_193318",12,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,4460.61,"M",9,"High"
"20260403_193318",13,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,3922.94,"M",9,"High"
"20260403_193318",14,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,3911.02,"M",9,"High"
"20260403_193318",15,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,4815.46,"M",9,"High"
"20260403_193318",16,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1458.47,"M",9,"High"
"20260403_193318",17,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,2614.42,"M",9,"High"
"20260403_193318",18,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,3518.89,"M",9,"High"
"20260403_193318",19,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,4573.68,"M",9,"High"
"20260403_193318",20,"main",180,"same","10cube_A","10cube_A","10cube_A","different","same",0,3199.55,"M",9,"High"
"20260403_193318",21,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","same","different",0,4283.89,"M",9,"High"
"20260403_193318",22,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,2448.26,"M",9,"High"
"20260403_193318",23,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1573.27,"M",9,"High"
"20260403_193318",24,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,5593.33,"M",9,"High"
"20260403_193318",25,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,3345.12,"M",9,"High"
"20260403_193318",26,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,2567.06,"M",9,"High"
"20260403_193318",27,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2681.02,"M",9,"High"
"20260403_193318",28,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,5380.74,"M",9,"High"
"20260403_193318",29,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,2643.8,"M",9,"High"
"20260403_193318",30,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,2866.84,"M",9,"High"
"20260403_193318",31,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1542.77,"M",9,"High"
"20260403_193318",32,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2805.57,"M",9,"High"
